Department,Location,Part,Heci,Description,Qty,UOM,Manufacturer,Notes,Alternative Part Number
CONDUIT H.W.,,,,"2"" EMT STRUT STRAPS",87,EA,,,
CONDUIT H.W.,,,,"2"" EMT LOCKNUTS",12,EA,,,
CONDUIT H.W.,,,,"2"" EMT GROUND BUSHINGS",8,EA,,,
CONDUIT H.W.,,,,"2"" SERVICE ENTERANCE (WEATHER HEAD)",2,EA,,,
CONDUIT H.W.,,,,"3"" TO 2"" K.O. REDUCER RINGS",1,set of 2,,,
CONDUIT H.W.,,,,"4"" EMT STRUT STRAPS",8,EA,,,
CONDUIT H.W.,,,,"4"" EMT LOCKNUTS",1,EA,,,
,,,,,,,,,
,,,,,,,,,
CONDUIT H.W.,,,,"1 1/4"" PVC COUPLINGS",5,EA,,,
CONDUIT H.W.,,,,"2"" PVC COUPLINGS",6,EA,,,
CONDUIT H.W.,,,,"2"" PVC FEMALE CONNECTORS",6,EA,,,
CONDUIT H.W.,,,,"2"" PVC MALE CONNECTORS",1,EA,,,
CONDUIT H.W.,,,,"2"" PVC END CAPS",1,EA,,,
CONDUIT H.W.,,,,"2""PVC OFFSET NIPPLES",2,EA,,,
CONDUIT H.W.,,,,"3"" PVC COUPLINGS",2,EA,,,
CONDUIT H.W.,,,,"3"" PVC MALE CONNECTORS",1,EA,,,
CONDUIT H.W.,,,,"4"" PVC COUPLINGS",2,EA,,,
,,,,,,,,,
CONDUIT H.W.,,,,"2"" PVC 90degree ELBOWS",4,EA,,,
CONDUIT H.W.,,,,"2"" PVC 45degree ELBOWS",15,EA,,,
CONDUIT H.W.,,,,"2"" PVC WYE INTERCEPTS",2,EA,,,
CONDUIT H.W.,,,,"3"" PVC 90degree ELBOWS",1,EA,,,
CONDUIT H.W.,,,,"3"" PVC 45degree ELBOWS",6,EA,,,
CONDUIT H.W.,,,,"3"" PVC WYE INTERCEPTS",2,EA,,,
CONDUIT H.W.,,,,"4"" PVC 90degree ELBOWS",5,EA,,,
CONDUIT H.W.,,,,"4"" PVC 45degree ELBOWS",0,EA,,,
CONDUIT H.W.,,,,"4"" PVC WYE INTERCEPTS",1,EA,,,
CONDUIT H.W.,,,,"4"" TO 2"" PVC WYE INTERCEPTS",1,EA,,,
CONDUIT H.W.,,K4Q2,,"4"" CONDUIT REPAIR KIT",1,KIT,,,
,,,,,,,,,
ENCLOSURES,,,,METAL 8X8X4 BLANK PULL BOX,1,EA,,,
ENCLOSURES,,,,METAL 12X12X4 BLACK PULL BOX,1,EA,,,
ENCLOSURES,,,,METAL 12X12X8 BLANK PULL BOX,1,EA,,,
ENCLOSURES,,,,PLASTIC 12X12X6 BLANK PULL BOX,2,EA,,,
